Slurm JOB ID,JOB Name (exp. condition),r,"lora_
alpha","lora_
dropout",target_modules,data_type,epoch,learning rate,weight decay,lr_scheduler_type,EM,Rel. Acc. Num,Average,# Numeric,# Valid,Note
"Using original vlm_inference.py (before implementating compatible code, metric calculation is different)",,,,,,,,,,,,,,,,
"2526822, 2528991","256M-instruct-ti-1, 256M-instruct-i-1",128,8,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3826,0.4857,0.43415,852,805,
"2526833, 2528992","256M-instruct-ti-2, 256M-instruct-i-2",256,8,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.375,0.4748,0.4249,840,794,
2530144,256M-instruct-ti-3,256,16,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3904,0.4843,0.43735,1009,960,
2530007,256M-instruct-ti-4,256,32,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.4318,0.5338,0.4828,1276,1225,
2530148,256M-instruct-ti-5,256,64,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.4479,0.561,0.50445,1574,1515,
2530952,256M-instruct-ti-5,256,128,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3684,0.5035,0.43595,1653,1551,
2530980,256M-instruct-ti-6,256,256,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3655,0.4996,0.43255,1658,1557,
2530992,256M-instruct-ti-7,256,512,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3216,0.4528,0.3872,1489,1389,
2530999,256M-instruct-ti-8,128,64,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.4491,0.5639,0.5065,1632,1571,
2531005,256M-instruct-ti-9,128,128,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3997,0.5238,0.46175,1771,1678,
2531016,256M-instruct-ti-10,128,256,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3583,0.4488,0.40355,1627,1526,
2531460,256M-instruct-ti-11,8,8,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3868,0.4845,0.43565,822,776,
2531461,256M-instruct-ti-12,64,8,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3793,0.4847,0.432,833,786,
2531462,256M-instruct-ti-13,64,64,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.4322,0.5547,0.49345,1652,1690,
2531464,256M-instruct-ti-14,64,128,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj""] ","""long""",3,0.0001,0.01,"""cosine""",0.3814,0.5127,0.44705,1738,1646,
After implementing compatibility code,,,,,,,,,,,,,,,,
2536773,256M-instruct-comp-ti-1,8,8,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj"",""lm_head""] ","""long""",3,0.0001,0.01,"""cosine""",24.55,30.03,27.29,786,839,
2536815,256M-instruct-comp-ti-2,64,8,0.1,"[""q_proj"",""k_proj"",""v_proj"",""o_proj"",""gate_proj"",""up_proj"",""down_proj"",""lm_head""] ","""long""",3,0.0001,0.01,"""cosine""",24.12,29.23,26.675,797,850,
