Model,EM (%),Relaxed Num (%),# Numeric,# Valid,Average Accuracy (%),base_model,Average Accuracy (%)_Original,Improvement (%)
SmolVLM-Instruct-qlora-tuned,57.58,67.58,1780.0,1794.0,62.58,SmolVLM-Instruct,46.040000000000006,16.539999999999992
SmolVLM-Instruct-lora-tuned,54.35,63.61,1800.0,1840.0,58.980000000000004,SmolVLM-Instruct,46.040000000000006,12.939999999999998
SmolVLM-Base-full-tuned,8.31,18.42,1862.0,1962.0,13.365000000000002,SmolVLM-Base,1.0350000000000001,12.330000000000002
SmolVLM-Base-qlora-tuned,7.85,17.13,1763.0,1861.0,12.489999999999998,SmolVLM-Base,1.0350000000000001,11.454999999999998
SmolVLM-Base-lora-tuned,7.18,15.6,1821.0,1923.0,11.39,SmolVLM-Base,1.0350000000000001,10.355
SmolVLM-256M-Instruct-lora-tuned,26.01,31.8,761.0,819.0,28.905,SmolVLM-256M-Instruct,19.02,9.885000000000002
SmolVLM-256M-Instruct-lora-tuned-attention-head-only,25.44,32.23,695.0,747.0,28.835,SmolVLM-256M-Instruct,19.02,9.815000000000001
SmolVLM-256M-Instruct-lora-tuned-lora-alpha-16,23.91,31.57,795.0,845.0,27.740000000000002,SmolVLM-256M-Instruct,19.02,8.720000000000002
SmolVLM-500M-Instruct-qlora-tuned,45.39,54.69,1494.0,1507.0,50.04,SmolVLM-500M-Instruct,41.405,8.634999999999998
SmolVLM-256M-Instruct-qlora-tuned,24.86,30.18,825.0,881.0,27.52,SmolVLM-256M-Instruct,19.02,8.5
SmolVLM-256M-Instruct-lora-tuned-lora_R_16-lora_alpha_16-device_batch_8-lr_2e4-attention_head_only,22.53,29.08,650.0,679.0,25.805,SmolVLM-256M-Instruct,19.02,6.785
SmolVLM-500M-Instruct-lora-tuned,42.44,51.59,1506.0,1522.0,47.015,SmolVLM-500M-Instruct,41.405,5.609999999999999
SmolVLM-256M-Instruct-full-tuned,14.35,25.03,1878.0,1979.0,19.69,SmolVLM-256M-Instruct,19.02,0.6700000000000017
SmolVLM-500M-Base-qlora-tuned,0.0,0.3,334.0,345.0,0.15,SmolVLM-500M-Base,0.0,0.15
SmolVLM-500M-Base-Original,0.0,0.0,4.0,4.0,0.0,SmolVLM-500M-Base,0.0,0.0
SmolVLM-500M-Base-full-tuned,0.0,0.0,45.0,45.0,0.0,SmolVLM-500M-Base,0.0,0.0
SmolVLM-500M-Instruct-Original,37.07,45.74,1045.0,1052.0,41.405,SmolVLM-500M-Instruct,41.405,0.0
SmolVLM-256M-Base-Original,3.71,6.84,1096.0,1133.0,5.275,SmolVLM-256M-Base,5.275,0.0
SmolVLM-500M-Base-lora-tuned,0.0,0.0,130.0,145.0,0.0,SmolVLM-500M-Base,0.0,0.0
SmolVLM-Base-Original,0.51,1.56,192.0,195.0,1.0350000000000001,SmolVLM-Base,1.0350000000000001,0.0
SmolVLM-Instruct-Original,41.84,50.24,1027.0,1030.0,46.040000000000006,SmolVLM-Instruct,46.040000000000006,0.0
SmolVLM-256M-Instruct-Original,15.51,22.53,608.0,619.0,19.02,SmolVLM-256M-Instruct,19.02,0.0
SmolVLM-256M-Base-lora-tuned,4.47,5.26,342.0,358.0,4.865,SmolVLM-256M-Base,5.275,-0.41000000000000014
SmolVLM-256M-Base-qlora-tuned,3.44,6.27,335.0,349.0,4.8549999999999995,SmolVLM-256M-Base,5.275,-0.4200000000000008
SmolVLM-256M-Base-full-tuned,0.27,1.09,368.0,370.0,0.68,SmolVLM-256M-Base,5.275,-4.595000000000001
SmolVLM-500M-Instruct-full-tuned,15.37,26.47,1870.0,1972.0,20.919999999999998,SmolVLM-500M-Instruct,41.405,-20.485000000000003
SmolVLM-Instruct-full-tuned,19.68,29.39,1875.0,1977.0,24.535,SmolVLM-Instruct,46.040000000000006,-21.505000000000006
